event_name,referee,winner,num_rounds,title_fight,weight_class,gender,result,result_details,finish_round,finish_time,fight_url,event_date,event_city,event_state,event_country,event_url,f_1_name,f_2_name,f_1_url,f_2_url,f_1_fighter_f_name,f_1_fighter_l_name,f_1_fighter_nickname,f_1_fighter_height_cm,f_1_fighter_weight_lbs,f_1_fighter_reach_cm,f_1_fighter_stance,f_1_fighter_dob,f_1_fighter_w,f_1_fighter_l,f_1_fighter_d,f_1_fighter_nc_dq,f_1_fighter_SlpM,f_1_fighter_Str_Acc,f_1_fighter_SApM,f_1_fighter_Str_Def,f_1_fighter_TD_Avg,f_1_fighter_TD_Acc,f_1_fighter_TD_Def,f_1_fighter_Sub_Avg,f_1_fighter_url,f_2_fighter_f_name,f_2_fighter_l_name,f_2_fighter_nickname,f_2_fighter_height_cm,f_2_fighter_weight_lbs,f_2_fighter_reach_cm,f_2_fighter_stance,f_2_fighter_dob,f_2_fighter_w,f_2_fighter_l,f_2_fighter_d,f_2_fighter_nc_dq,f_2_fighter_SlpM,f_2_fighter_Str_Acc,f_2_fighter_SApM,f_2_fighter_Str_Def,f_2_fighter_TD_Avg,f_2_fighter_TD_Acc,f_2_fighter_TD_Def,f_2_fighter_Sub_Avg,f_2_fighter_url,f_1_knockdowns,f_1_total_strikes_att,f_1_total_strikes_succ,f_1_sig_strikes_att,f_1_sig_strikes_succ,f_1_takedown_att,f_1_takedown_succ,f_1_submission_att,f_1_reversals,f_1_ctrl_time_sec,f_2_knockdowns,f_2_total_strikes_att,f_2_total_strikes_succ,f_2_sig_strikes_att,f_2_sig_strikes_succ,f_2_takedown_att,f_2_takedown_succ,f_2_submission_att,f_2_reversals,f_2_ctrl_time_sec,f_1_r1_sig_pct,f_1_r1_knockdowns,f_1_r1_sig_strikes_succ,f_1_r1_sig_strikes_att,f_1_r1_total_strikes_succ,f_1_r1_total_strikes_att,f_1_r1_td_1_succ,f_1_r1_td_1_att,f_1_r1_td_2,f_1_r1_submission_att,f_1_r1_reversals,f_1_r1_ctrl,f_1_r1_sig_pct_succ,f_1_r1_sig_pct_att,f_1_r1_sig_strikes,f_1_r1_head_succ,f_1_r1_head_att,f_1_r1_body_succ,f_1_r1_body_att,f_1_r1_leg_succ,f_1_r1_leg_att,f_1_r1_distance_succ,f_1_r1_distance_att,f_1_r1_clinch_succ,f_1_r1_clinch_att,f_1_r1_ground_succ,f_1_r1_ground_att,f_1_r2_sig_pct,f_1_r2_knockdowns,f_1_r2_sig_strikes_succ,f_1_r2_sig_strikes_att,f_1_r2_total_strikes_succ,f_1_r2_total_strikes_att,f_1_r2_td_1_succ,f_1_r2_td_1_att,f_1_r2_td_2,f_1_r2_submission_att,f_1_r2_reversals,f_1_r2_ctrl,f_1_r2_sig_pct_succ,f_1_r2_sig_pct_att,f_1_r2_sig_strikes,f_1_r2_head_succ,f_1_r2_head_att,f_1_r2_body_succ,f_1_r2_body_att,f_1_r2_leg_succ,f_1_r2_leg_att,f_1_r2_distance_succ,f_1_r2_distance_att,f_1_r2_clinch_succ,f_1_r2_clinch_att,f_1_r2_ground_succ,f_1_r2_ground_att,f_1_r3_sig_pct,f_1_r3_knockdowns,f_1_r3_sig_strikes_succ,f_1_r3_sig_strikes_att,f_1_r3_total_strikes_succ,f_1_r3_total_strikes_att,f_1_r3_td_1_succ,f_1_r3_td_1_att,f_1_r3_td_2,f_1_r3_submission_att,f_1_r3_reversals,f_1_r3_ctrl,f_1_r3_sig_pct_succ,f_1_r3_sig_pct_att,f_1_r3_sig_strikes,f_1_r3_head_succ,f_1_r3_head_att,f_1_r3_body_succ,f_1_r3_body_att,f_1_r3_leg_succ,f_1_r3_leg_att,f_1_r3_distance_succ,f_1_r3_distance_att,f_1_r3_clinch_succ,f_1_r3_clinch_att,f_1_r3_ground_succ,f_1_r3_ground_att,f_1_r4_sig_pct,f_1_r4_knockdowns,f_1_r4_sig_strikes_succ,f_1_r4_sig_strikes_att,f_1_r4_total_strikes_succ,f_1_r4_total_strikes_att,f_1_r4_td_1_succ,f_1_r4_td_1_att,f_1_r4_td_2,f_1_r4_submission_att,f_1_r4_reversals,f_1_r4_ctrl,f_1_r4_sig_pct_succ,f_1_r4_sig_pct_att,f_1_r4_sig_strikes,f_1_r4_head_succ,f_1_r4_head_att,f_1_r4_body_succ,f_1_r4_body_att,f_1_r4_leg_succ,f_1_r4_leg_att,f_1_r4_distance_succ,f_1_r4_distance_att,f_1_r4_clinch_succ,f_1_r4_clinch_att,f_1_r4_ground_succ,f_1_r4_ground_att,f_1_r5_sig_pct,f_1_r5_knockdowns,f_1_r5_sig_strikes_succ,f_1_r5_sig_strikes_att,f_1_r5_total_strikes_succ,f_1_r5_total_strikes_att,f_1_r5_td_1_succ,f_1_r5_td_1_att,f_1_r5_td_2,f_1_r5_submission_att,f_1_r5_reversals,f_1_r5_ctrl,f_1_r5_sig_pct_succ,f_1_r5_sig_pct_att,f_1_r5_sig_strikes,f_1_r5_head_succ,f_1_r5_head_att,f_1_r5_body_succ,f_1_r5_body_att,f_1_r5_leg_succ,f_1_r5_leg_att,f_1_r5_distance_succ,f_1_r5_distance_att,f_1_r5_clinch_succ,f_1_r5_clinch_att,f_1_r5_ground_succ,f_1_r5_ground_att,f_2_r1_sig_pct,f_2_r1_knockdowns,f_2_r1_sig_strikes_succ,f_2_r1_sig_strikes_att,f_2_r1_total_strikes_succ,f_2_r1_total_strikes_att,f_2_r1_td_1_succ,f_2_r1_td_1_att,f_2_r1_td_2,f_2_r1_submission_att,f_2_r1_reversals,f_2_r1_ctrl,f_2_r1_sig_pct_succ,f_2_r1_sig_pct_att,f_2_r1_sig_strikes,f_2_r1_head_succ,f_2_r1_head_att,f_2_r1_body_succ,f_2_r1_body_att,f_2_r1_leg_succ,f_2_r1_leg_att,f_2_r1_distance_succ,f_2_r1_distance_att,f_2_r1_clinch_succ,f_2_r1_clinch_att,f_2_r1_ground_succ,f_2_r1_ground_att,f_2_r2_sig_pct,f_2_r2_knockdowns,f_2_r2_sig_strikes_succ,f_2_r2_sig_strikes_att,f_2_r2_total_strikes_succ,f_2_r2_total_strikes_att,f_2_r2_td_1_succ,f_2_r2_td_1_att,f_2_r2_td_2,f_2_r2_submission_att,f_2_r2_reversals,f_2_r2_ctrl,f_2_r2_sig_pct_succ,f_2_r2_sig_pct_att,f_2_r2_sig_strikes,f_2_r2_head_succ,f_2_r2_head_att,f_2_r2_body_succ,f_2_r2_body_att,f_2_r2_leg_succ,f_2_r2_leg_att,f_2_r2_distance_succ,f_2_r2_distance_att,f_2_r2_clinch_succ,f_2_r2_clinch_att,f_2_r2_ground_succ,f_2_r2_ground_att,f_2_r3_sig_pct,f_2_r3_knockdowns,f_2_r3_sig_strikes_succ,f_2_r3_sig_strikes_att,f_2_r3_total_strikes_succ,f_2_r3_total_strikes_att,f_2_r3_td_1_succ,f_2_r3_td_1_att,f_2_r3_td_2,f_2_r3_submission_att,f_2_r3_reversals,f_2_r3_ctrl,f_2_r3_sig_pct_succ,f_2_r3_sig_pct_att,f_2_r3_sig_strikes,f_2_r3_head_succ,f_2_r3_head_att,f_2_r3_body_succ,f_2_r3_body_att,f_2_r3_leg_succ,f_2_r3_leg_att,f_2_r3_distance_succ,f_2_r3_distance_att,f_2_r3_clinch_succ,f_2_r3_clinch_att,f_2_r3_ground_succ,f_2_r3_ground_att,f_2_r4_sig_pct,f_2_r4_knockdowns,f_2_r4_sig_strikes_succ,f_2_r4_sig_strikes_att,f_2_r4_total_strikes_succ,f_2_r4_total_strikes_att,f_2_r4_td_1_succ,f_2_r4_td_1_att,f_2_r4_td_2,f_2_r4_submission_att,f_2_r4_reversals,f_2_r4_ctrl,f_2_r4_sig_pct_succ,f_2_r4_sig_pct_att,f_2_r4_sig_strikes,f_2_r4_head_succ,f_2_r4_head_att,f_2_r4_body_succ,f_2_r4_body_att,f_2_r4_leg_succ,f_2_r4_leg_att,f_2_r4_distance_succ,f_2_r4_distance_att,f_2_r4_clinch_succ,f_2_r4_clinch_att,f_2_r4_ground_succ,f_2_r4_ground_att,f_2_r5_sig_pct,f_2_r5_knockdowns,f_2_r5_sig_strikes_succ,f_2_r5_sig_strikes_att,f_2_r5_total_strikes_succ,f_2_r5_total_strikes_att,f_2_r5_td_1_succ,f_2_r5_td_1_att,f_2_r5_td_2,f_2_r5_submission_att,f_2_r5_reversals,f_2_r5_ctrl,f_2_r5_sig_pct_succ,f_2_r5_sig_pct_att,f_2_r5_sig_strikes,f_2_r5_head_succ,f_2_r5_head_att,f_2_r5_body_succ,f_2_r5_body_att,f_2_r5_leg_succ,f_2_r5_leg_att,f_2_r5_distance_succ,f_2_r5_distance_att,f_2_r5_clinch_succ,f_2_r5_clinch_att,f_2_r5_ground_succ,f_2_r5_ground_att,f_1_ranking,f_2_ranking,f_1_odds,f_2_odds,f_1_ko_odds,f_1_sub_odds,f_2_ko_odds,f_2_sub_odds
UFC Fight Night: Hooker vs. Parnasse,Marc Goddard,Salahdine Parnasse,5,False,Lightweight,M,KO/TKO,Punch to Head At Distance,1,2:35,http://ufcstats.com/fight-details/bba8c0ab999b9e6f,2026-09-05,Paris,Ile-de-France,France,http://ufcstats.com/event-details/2144954270be834d,Salahdine Parnasse,Dan Hooker,http://ufcstats.com/fighter-details/b3cb9dfccff3be76,http://ufcstats.com/fighter-details/193b9d1858bc4df3,Salahdine,Parnasse,Lion of Atlas,177.80,155.0,180.34,Southpaw,1997-12-04,24,2,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,http://ufcstats.com/fighter-details/b3cb9dfccff3be76,Dan,Hooker,The Hangman,182.88,155.0,190.50,Switch,1990-02-13,24,15,0,,4.82,0.48,4.94,0.49,0.68,0.33,0.77,0.6,http://ufcstats.com/fighter-details/193b9d1858bc4df3,1,17,12,17,12,0,0,0,0,2,0,31,14,31,14,0,0,0,0,0,70.0,1,12,17,12,17,0,0,0,0,0,2,12,17,70,7,12,2,2,3,3,9,14,0,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,0,14,31,14,31,0,0,0,0,0,0,14,31,45,0,9,2,3,12,19,14,31,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Hooker vs. Parnasse,Herb Dean,Axel Sola,3,False,Lightweight,M,KO/TKO,Punch to Head At Distance,1,1:40,http://ufcstats.com/fight-details/55f698e5c4ed2c47,2026-09-05,Paris,Ile-de-France,France,http://ufcstats.com/event-details/2144954270be834d,Axel Sola,Fares Ziam,http://ufcstats.com/fighter-details/1d2d98ddd05b38fb,http://ufcstats.com/fighter-details/1e4f273069fb9e85,Axel,Sola,,182.88,155.0,187.96,Southpaw,1997-09-17,13,1,1,,4.50,0.50,4.53,0.61,1.89,0.36,0.66,0.5,http://ufcstats.com/fighter-details/1d2d98ddd05b38fb,Fares,Ziam,The Smile Killer,185.42,155.0,190.50,Orthodox,1997-03-21,18,6,0,,2.68,0.52,1.58,0.63,1.86,0.42,0.70,0.5,http://ufcstats.com/fighter-details/1e4f273069fb9e85,1,13,9,13,9,0,0,0,0,2,0,13,7,13,7,0,0,0,0,0,69.0,1,9,13,9,13,0,0,0,0,0,2,9,13,69,7,10,2,3,0,0,6,10,0,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,0,7,13,7,13,0,0,0,0,0,0,7,13,53,0,5,2,2,5,6,7,13,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Hooker vs. Parnasse,Jason Herzog,Michael Page,3,False,Middleweight,M,Decision - Unanimous,Ben Cartlidge 28 - 29. Anders Ohlsson 28 - 29. Clemens Werner 28 - 29.,3,5:00,http://ufcstats.com/fight-details/c23197c7e4f2fd9d,2026-09-05,Paris,Ile-de-France,France,http://ufcstats.com/event-details/2144954270be834d,Michael Page,Nursulton Ruziboev,http://ufcstats.com/fighter-details/a67d071163962af8,http://ufcstats.com/fighter-details/49d2a08964c5eb11,Michael,Page,Venom,190.50,185.0,200.66,Switch,1987-04-07,26,3,0,,2.28,0.58,1.51,0.62,0.19,0.16,0.70,0.0,http://ufcstats.com/fighter-details/a67d071163962af8,Nursulton,Ruziboev,Black,195.58,185.0,193.04,Orthodox,1993-11-19,37,10,2,2.0,2.38,0.46,2.68,0.49,1.36,0.80,0.33,0.3,http://ufcstats.com/fighter-details/49d2a08964c5eb11,0,66,49,28,12,2,0,1,0,66,0,42,21,29,8,3,2,0,0,328,80.0,0,4,5,18,20,0,1,0,1,0,0,4,5,80,2,3,1,1,1,1,3,4,1,1,0,0,38.0,0,5,13,17,25,0,1,0,0,0,49,5,13,38,2,8,1,2,2,3,5,13,0,0,0,0,30.0,0,3,10,14,21,0,0,0,0,0,17,3,10,30,3,8,0,2,0,0,3,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,0,4,6,16,18,1,1,100,0,0,260,4,6,66,4,6,0,0,0,0,0,2,0,0,4,4,14.0,0,2,14,2,14,0,1,0,0,0,1,2,14,14,0,12,1,1,1,1,2,13,0,1,0,0,22.0,0,2,9,3,10,1,1,100,0,0,67,2,9,22,1,8,1,1,0,0,1,8,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Hooker vs. Parnasse,Marc Goddard,Daniil Donchenko,3,False,Welterweight,M,Decision - Unanimous,Ben Cartlidge 27 - 30. David Lethaby 27 - 30. Eric Colon 28 - 29.,3,5:00,http://ufcstats.com/fight-details/8300a095a4908ab1,2026-09-05,Paris,Ile-de-France,France,http://ufcstats.com/event-details/2144954270be834d,Daniil Donchenko,Punahele Soriano,http://ufcstats.com/fighter-details/70dd69b6a703257e,http://ufcstats.com/fighter-details/64facb6cc564262d,Daniil,Donchenko,,180.34,170.0,180.34,Orthodox,2001-08-04,16,2,0,,8.07,0.62,2.80,0.70,0.58,0.33,0.75,0.0,http://ufcstats.com/fighter-details/70dd69b6a703257e,Punahele,Soriano,Puna,180.34,170.0,182.88,Southpaw,1992-11-22,13,5,0,,4.42,0.53,3.31,0.47,1.97,0.51,0.48,0.1,http://ufcstats.com/fighter-details/64facb6cc564262d,1,180,120,137,83,1,0,0,0,41,0,115,43,84,15,11,4,1,0,212,69.0,1,37,53,50,67,0,0,0,0,0,39,37,53,69,18,33,12,13,7,7,25,40,4,5,8,8,63.0,0,33,52,33,52,0,1,0,0,0,0,33,52,63,15,32,9,11,9,9,32,51,1,1,0,0,40.0,0,13,32,37,61,0,0,0,0,0,2,13,32,40,13,29,0,3,0,0,7,25,6,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,0,5,22,5,22,0,3,0,0,0,5,5,22,22,5,16,0,6,0,0,4,20,1,2,0,0,12.0,0,6,47,6,47,1,2,50,0,0,11,6,47,12,5,39,1,8,0,0,4,44,2,3,0,0,26.0,0,4,15,32,46,3,6,50,1,0,196,4,15,26,2,13,2,2,0,0,3,14,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Hooker vs. Parnasse,Herb Dean,Kurtis Campbell,3,False,Featherweight,M,Submission,Rear Naked Choke,3,3:07,http://ufcstats.com/fight-details/cbf9063d23513661,2026-09-05,Paris,Ile-de-France,France,http://ufcstats.com/event-details/2144954270be834d,Kurtis Campbell,Trevor Peek,http://ufcstats.com/fighter-details/9d51798e61f2e0c7,http://ufcstats.com/fighter-details/0bc697c5936a2d0a,Kurtis,Campbell,The Pink Panther,175.26,145.0,182.88,Switch,2002-07-29,9,1,0,,3.50,0.48,2.63,0.51,8.76,0.40,0.50,0.0,http://ufcstats.com/fighter-details/9d51798e61f2e0c7,Trevor,Peek,,175.26,145.0,177.80,Switch,1995-01-09,9,4,0,1.0,4.39,0.53,3.88,0.43,1.45,0.50,0.52,0.0,http://ufcstats.com/fighter-details/0bc697c5936a2d0a,0,108,79,61,44,24,13,1,0,620,0,40,17,35,12,0,0,0,0,0,72.0,0,34,47,42,57,7,12,58,0,0,211,34,47,72,28,37,5,8,1,2,9,16,1,3,24,28,100.0,0,4,4,26,34,3,6,50,0,0,280,4,4,100,3,3,1,1,0,0,2,2,0,0,2,2,60.0,0,6,10,11,17,3,6,50,1,0,129,6,10,60,5,8,1,2,0,0,6,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,0,6,18,7,19,0,0,0,0,0,0,6,18,33,3,13,1,1,2,4,5,17,1,1,0,0,40.0,0,2,5,5,8,0,0,0,0,0,0,2,5,40,0,3,2,2,0,0,1,3,1,2,0,0,33.0,0,4,12,5,13,0,0,0,0,0,0,4,12,33,2,9,1,1,1,2,4,12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Hooker vs. Parnasse,Jason Herzog,Losene Keita,3,False,Featherweight,M,KO/TKO,Punch to Head At Distance,1,2:54,http://ufcstats.com/fight-details/b90b099c1f47bb93,2026-09-05,Paris,Ile-de-France,France,http://ufcstats.com/event-details/2144954270be834d,Losene Keita,Muhammad Naimov,http://ufcstats.com/fighter-details/5b43d68174b6e2ab,http://ufcstats.com/fighter-details/8d11d9c13e2ccdf7,Losene,Keita,Black Panther,170.18,145.0,182.88,Orthodox,1997-12-30,17,2,0,,3.47,0.43,4.47,0.62,0.00,0.00,1.00,0.0,http://ufcstats.com/fighter-details/5b43d68174b6e2ab,Muhammad,Naimov,Hillman,175.26,145.0,177.80,Orthodox,1994-08-07,13,5,0,,2.51,0.40,3.35,0.44,1.49,0.30,0.68,0.2,http://ufcstats.com/fighter-details/8d11d9c13e2ccdf7,2,31,19,30,18,0,0,0,0,20,0,24,4,24,4,0,0,0,0,0,60.0,2,18,30,19,31,0,0,0,0,0,20,18,30,60,16,27,2,3,0,0,10,21,0,0,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,0,4,24,4,24,0,0,0,0,0,0,4,24,16,2,21,2,3,0,0,4,24,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Hooker vs. Parnasse,Herb Dean,Felipe Lima,3,False,Featherweight,M,Decision - Unanimous,Ben Cartlidge 27 - 30. Clemens Werner 27 - 30. Anders Ohlsson 28 - 29.,3,5:00,http://ufcstats.com/fight-details/ad17c34e0cc7d702,2026-09-05,Paris,Ile-de-France,France,http://ufcstats.com/event-details/2144954270be834d,Felipe Lima,Morgan Charriere,http://ufcstats.com/fighter-details/9256f591b30c073e,http://ufcstats.com/fighter-details/5b03b61f9d90125e,Felipe,Lima,Jungle Boy,167.64,145.0,172.72,Orthodox,1998-05-07,15,2,0,,2.86,0.45,2.91,0.64,2.18,0.27,0.85,0.7,http://ufcstats.com/fighter-details/9256f591b30c073e,Morgan,Charriere,The Last Pirate,172.72,145.0,175.26,Orthodox,1995-10-26,21,13,1,,4.02,0.50,4.51,0.53,2.06,0.46,0.83,0.3,http://ufcstats.com/fighter-details/5b03b61f9d90125e,0,221,115,218,112,2,2,0,0,13,0,148,38,146,36,3,0,1,0,31,40.0,0,27,66,28,67,1,1,100,0,0,6,27,66,40,20,52,4,7,3,7,27,66,0,0,0,0,60.0,0,48,79,49,80,1,1,100,0,0,7,48,79,60,36,62,10,14,2,3,45,75,3,4,0,0,50.0,0,37,73,38,74,0,0,0,0,0,0,37,73,50,26,60,4,4,7,9,35,71,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,0,17,67,18,68,0,1,0,1,0,12,17,67,25,11,58,6,8,0,1,17,67,0,0,0,0,20.0,0,11,54,12,55,0,2,0,0,0,0,11,54,20,9,48,2,6,0,0,11,52,0,2,0,0,32.0,0,8,25,8,25,0,0,0,0,0,19,8,25,32,4,16,3,8,1,1,8,25,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Hooker vs. Parnasse,Marc Goddard,Mario Pinto,3,False,Heavyweight,M,KO/TKO,Punches to Head On Ground,2,0:55,http://ufcstats.com/fight-details/b1c6ea7d7d413bd5,2026-09-05,Paris,Ile-de-France,France,http://ufcstats.com/event-details/2144954270be834d,Mario Pinto,Ryan Spann,http://ufcstats.com/fighter-details/39d309957c5c210d,http://ufcstats.com/fighter-details/a67f5afa8d6a1b80,Mario,Pinto,,195.58,265.0,200.66,Orthodox,1998-03-14,13,0,0,,2.85,0.69,1.93,0.58,2.38,0.26,1.00,0.9,http://ufcstats.com/fighter-details/39d309957c5c210d,Ryan,Spann,Superman,195.58,264.0,200.66,Orthodox,1991-08-24,24,12,0,,3.11,0.39,3.92,0.43,1.21,0.34,0.59,1.7,http://ufcstats.com/fighter-details/a67f5afa8d6a1b80,0,137,114,67,48,7,6,0,0,213,0,37,16,34,13,1,0,1,0,20,66.0,0,36,54,78,96,5,6,83,0,0,170,36,54,66,35,53,1,1,0,0,9,22,4,7,23,25,92.0,0,12,13,36,41,1,1,100,0,0,43,12,13,92,12,13,0,0,0,0,1,2,2,2,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,0,13,33,16,36,0,1,0,1,0,20,13,33,39,10,30,3,3,0,0,6,23,7,10,0,0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Hooker vs. Parnasse,Jason Herzog,Modestas Bukauskas,3,False,Light Heavyweight,M,KO/TKO,Knee to Head In Clinch,2,3:57,http://ufcstats.com/fight-details/94d411112ebe8fad,2026-09-05,Paris,Ile-de-France,France,http://ufcstats.com/event-details/2144954270be834d,Modestas Bukauskas,Oumar Sy,http://ufcstats.com/fighter-details/476fe566d2df676e,http://ufcstats.com/fighter-details/46e2011d92463b7e,Modestas,Bukauskas,The Baltic Gladiator,190.50,205.0,193.04,Switch,1994-02-10,21,7,0,,3.14,0.43,3.86,0.50,0.23,0.66,0.82,0.1,http://ufcstats.com/fighter-details/476fe566d2df676e,Oumar,Sy,,193.04,205.0,210.82,Orthodox,1995-11-21,12,3,0,,3.41,0.48,1.87,0.66,2.45,0.35,0.66,0.3,http://ufcstats.com/fighter-details/46e2011d92463b7e,1,56,29,46,22,0,0,0,0,95,0,71,48,59,39,8,3,1,0,308,11.0,0,2,17,5,20,0,0,0,0,0,0,2,17,11,2,17,0,0,0,0,1,16,1,1,0,0,68.0,1,20,29,24,36,0,0,0,0,0,95,20,29,68,20,29,0,0,0,0,0,3,5,7,15,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,0,34,53,43,64,1,3,33,1,0,188,34,53,64,25,42,2,4,7,7,10,22,0,0,24,31,83.0,0,5,6,5,7,2,5,40,0,0,120,5,6,83,2,3,3,3,0,0,1,1,3,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night: Hooker vs. Parnasse,Herb Dean,Pavel Andrusca,3,False,Featherweight,M,Decision - Unanimous,Ludovic Dandine 27 - 30. Clemens Werner 27 - 30. Ben Cartlidge 28 - 29.,3,5:00,http://ufcstats.com/fight-details/ac3af13ffe39b1d8,2026-09-05,Paris,Ile-de-France,France,http://ufcstats.com/event-details/2144954270be834d,Pavel Andrusca,Nathaniel Wood,http://ufcstats.com/fighter-details/93f9c19ae41d2a97,http://ufcstats.com/fighter-details/329e403448756217,Pavel,Andrusca,,170.18,145.0,167.64,Orthodox,2002-05-08,9,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,http://ufcstats.com/fighter-details/93f9c19ae41d2a97,Nathaniel,Wood,The Last Kingsman,167.64,145.0,175.26,Orthodox,1993-05-08,23,7,0,,5.64,0.51,4.25,0.54,1.35,0.48,0.73,0.5,http://ufcstats.com/fighter-details/329e403448756217,0,131,69,105,50,19,4,1,0,366,1,118,57,86,28,0,0,0,0,9,41.0,0,14,34,16,36,1,4,25,0,0,55,14,34,41,11,28,2,5,1,1,10,29,3,4,1,1,45.0,0,17,37,21,41,2,10,20,1,0,91,17,37,45,15,33,1,3,1,1,13,30,3,5,1,2,55.0,0,19,34,32,54,1,5,20,0,0,220,19,34,55,18,31,1,3,0,0,10,23,3,4,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,0,8,32,15,39,0,0,0,0,0,0,8,32,25,3,20,3,6,2,6,8,31,0,1,0,0,34.0,1,15,43,16,45,0,0,0,0,0,9,15,43,34,10,35,3,4,2,4,14,38,1,4,0,1,45.0,0,5,11,26,34,0,0,0,0,0,0,5,11,45,4,8,1,3,0,0,4,10,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
