time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2024-12-23 9:46:20:311	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.60	0.44	177.20	8.483	-48.850	172.533	0.02029	0.01410	0.69202	0.72137	26.4	10080.1.13	60
2024-12-23 9:46:20:378	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.60	0.44	177.20	8.483	-48.850	172.533	0.02029	0.01410	0.69202	0.72137	26.4	10080.1.13	60
2024-12-23 9:46:20:489	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.60	0.44	177.20	8.483	-48.850	172.533	0.02026	0.01410	0.69202	0.72137	26.4	10080.1.13	60
2024-12-23 9:46:20:579	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.60	0.44	177.20	8.483	-48.850	172.533	0.02026	0.01410	0.69202	0.72137	26.4	10080.1.13	60
2024-12-23 9:46:20:691	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.60	0.44	177.20	8.433	-47.933	172.450	0.02026	0.01410	0.69202	0.72137	26.4	10080.1.13	60
2024-12-23 9:46:20:783	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.60	0.44	177.20	8.433	-47.933	172.450	0.02026	0.01410	0.69202	0.72137	26.4	10080.1.13	60
2024-12-23 9:46:20:895	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.60	0.44	177.20	8.433	-47.933	172.450	0.02026	0.01407	0.69202	0.72137	26.4	10080.1.13	60
2024-12-23 9:46:20:986	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.60	0.44	177.20	8.433	-47.933	172.450	0.02026	0.01407	0.69202	0.72137	26.4	10080.1.13	60
2024-12-23 9:46:21:98	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.60	0.44	177.20	8.850	-47.708	172.050	0.02026	0.01407	0.69202	0.72137	26.4	10080.1.13	60
2024-12-23 9:46:21:164	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.60	0.39	177.20	8.850	-47.708	172.050	0.02026	0.01407	0.69202	0.72137	26.4	10080.1.13	60
2024-12-23 9:46:21:322	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	87.60	0.35	177.20	8.850	-47.708	172.050	0.01987	0.01447	0.69199	0.72144	26.4	10080.1.13	60
